dataset,run_id,accuracy,f1_score,num_features,feature_ratio,run_time
Steel Plates Faults,1,1.0,1.0,6,0.18181818181818182,217.94520163536072
Steel Plates Faults,2,1.0,1.0,6,0.18181818181818182,222.76638841629028
Steel Plates Faults,3,1.0,1.0,6,0.18181818181818182,221.05220484733582
Steel Plates Faults,4,1.0,1.0,6,0.18181818181818182,221.41475248336792
Steel Plates Faults,5,1.0,1.0,6,0.18181818181818182,212.94303107261658
Toxicity,1,0.7428571428571429,0.6503884572697003,461,0.38320864505403157,65.68591332435608
Toxicity,2,0.7714285714285715,0.7008547008547008,422,0.3507896924355777,67.6414110660553
Toxicity,3,0.8857142857142857,0.8674242424242424,432,0.35910224438902744,69.28063416481018
Toxicity,4,0.8285714285714286,0.7756410256410255,448,0.372402327514547,66.53786277770996
Toxicity,5,0.8,0.7471620227038184,448,0.372402327514547,65.35140943527222
Vehicle,1,0.7751479289940828,0.7684684501544967,8,0.4444444444444444,56.303109645843506
Vehicle,2,0.7810650887573964,0.7770599932880635,9,0.5,53.703349351882935
Vehicle,3,0.8047337278106509,0.8038871322803145,11,0.6111111111111112,93.74665141105652
Vehicle,4,0.7692307692307693,0.7600515162158998,11,0.6111111111111112,97.42395949363708
Vehicle,5,0.7514792899408284,0.7494980042780848,5,0.2777777777777778,87.12837815284729
